Date,Amount,Category,Description
2024-07-07,256.15,Clothing,Transaction 1
2024-07-07,197.85,Rent,Transaction 2
2024-05-04,292.04,Miscellaneous,Transaction 3
2024-06-29,226.13,Utilities,Transaction 4
2024-07-03,121.72,Rent,Transaction 5
2024-05-30,265.28,Entertainment,Transaction 6
2024-07-24,360.25,Transportation,Transaction 7
2024-05-17,406.15,Groceries,Transaction 8
2024-06-26,96.43,Miscellaneous,Transaction 9
2024-05-02,222.14,Education,Transaction 10
2024-06-23,159.16,Groceries,Transaction 11
2024-06-23,9.94,Groceries,Transaction 12
2024-06-07,235.96,Transportation,Transaction 13
2024-05-17,480.91,Clothing,Transaction 14
2024-06-19,101.48,Healthcare,Transaction 15
2024-05-23,386.46,Dining,Transaction 16
2024-05-09,303.36,Clothing,Transaction 17
2024-06-13,372.64,Dining,Transaction 18
2024-06-09,234.33,Rent,Transaction 19
2024-05-01,101.4,Entertainment,Transaction 20
2024-07-05,445.4,Healthcare,Transaction 21
2024-07-07,320.7,Education,Transaction 22
2024-06-29,473.81,Transportation,Transaction 23
2024-05-06,37.6,Rent,Transaction 24
2024-06-16,299.59,Rent,Transaction 25
2024-05-07,384.27,Education,Transaction 26
2024-05-16,87.91,Dining,Transaction 27
2024-06-17,212.63,Healthcare,Transaction 28
2024-05-26,207.06,Education,Transaction 29
2024-05-25,17.87,Rent,Transaction 30
2024-05-24,459.7,Healthcare,Transaction 31
2024-06-08,496.13,Utilities,Transaction 32
2024-07-13,10.24,Groceries,Transaction 33
2024-06-30,267.07,Education,Transaction 34
2024-07-12,305.43,Education,Transaction 35
2024-05-20,148.15,Entertainment,Transaction 36
2024-06-30,221.61,Rent,Transaction 37
2024-05-12,170.0,Entertainment,Transaction 38
2024-06-13,449.35,Miscellaneous,Transaction 39
2024-06-22,340.91,Dining,Transaction 40
2024-06-27,397.89,Miscellaneous,Transaction 41
2024-05-25,50.54,Entertainment,Transaction 42
2024-05-16,410.97,Education,Transaction 43
2024-07-01,412.81,Transportation,Transaction 44
2024-07-07,99.9,Dining,Transaction 45
2024-06-30,489.94,Entertainment,Transaction 46
2024-06-27,138.58,Utilities,Transaction 47
2024-05-20,143.27,Dining,Transaction 48
2024-06-13,232.08,Clothing,Transaction 49
2024-05-09,334.25,Healthcare,Transaction 50
2024-05-06,42.65,Clothing,Transaction 51
2024-07-09,301.21,Education,Transaction 52
2024-06-05,459.48,Rent,Transaction 53
2024-05-11,106.93,Groceries,Transaction 54
2024-05-23,277.37,Groceries,Transaction 55
2024-07-06,402.39,Entertainment,Transaction 56
2024-06-07,323.16,Utilities,Transaction 57
2024-05-06,227.34,Utilities,Transaction 58
2024-05-31,315.88,Entertainment,Transaction 59
2024-05-16,374.79,Utilities,Transaction 60
2024-05-02,62.91,Clothing,Transaction 61
2024-06-21,284.85,Transportation,Transaction 62
2024-07-16,248.72,Clothing,Transaction 63
2024-05-08,268.02,Utilities,Transaction 64
2024-06-24,298.05,Healthcare,Transaction 65
2024-05-13,458.42,Entertainment,Transaction 66
2024-07-10,396.7,Transportation,Transaction 67
2024-07-25,265.41,Education,Transaction 68
2024-05-09,178.54,Dining,Transaction 69
2024-07-24,407.01,Transportation,Transaction 70
2024-05-29,405.11,Groceries,Transaction 71
2024-05-01,27.89,Education,Transaction 72
2024-05-16,162.46,Healthcare,Transaction 73
2024-06-29,397.38,Transportation,Transaction 74
2024-07-27,443.37,Entertainment,Transaction 75
2024-05-05,357.84,Rent,Transaction 76
2024-05-29,359.09,Healthcare,Transaction 77
2024-05-21,489.38,Utilities,Transaction 78
2024-05-04,200.37,Groceries,Transaction 79
2024-07-27,373.01,Transportation,Transaction 80
2024-06-07,350.8,Healthcare,Transaction 81
2024-05-20,320.1,Miscellaneous,Transaction 82
2024-06-15,359.68,Entertainment,Transaction 83
2024-06-08,461.31,Miscellaneous,Transaction 84
2024-06-25,313.22,Education,Transaction 85
2024-05-12,57.08,Clothing,Transaction 86
2024-07-20,237.85,Rent,Transaction 87
2024-05-07,384.16,Transportation,Transaction 88
2024-07-12,231.9,Healthcare,Transaction 89
2024-05-14,370.66,Education,Transaction 90
2024-06-29,115.43,Miscellaneous,Transaction 91
2024-05-01,274.16,Dining,Transaction 92
2024-05-10,268.26,Entertainment,Transaction 93
2024-06-06,252.0,Transportation,Transaction 94
2024-07-17,230.83,Dining,Transaction 95
2024-05-05,203.31,Clothing,Transaction 96
2024-05-19,453.67,Education,Transaction 97
2024-06-14,377.08,Clothing,Transaction 98
2024-07-27,264.85,Transportation,Transaction 99
2024-05-31,487.73,Utilities,Transaction 100
